Reporting year,Provider country/institution - code,Provider country/institution - name,Provider agency,Provider project number,TOSSD ID Number,TOSSD recipient - code,TOSSD recipient - name,Region,Project title,Description,External link,SDG focus,SDG goal level explanation,Keywords,Sector category - code,Sector category - name,Purpose code,Purpose name,ISICcode,ISIC name,ISIC lvl,ISIC description letter lvl,Channel category - code,Channel category - name,Other Partners,Channel - code,Channel - name,Channel,Modality - code,Modality - name,Financial instrument - code,Financial instrument - name,Financing arrangement - code,Financing arrangement - name,Framework of collaboration - code,Framework of collaboration - name,TOSSD pillar,TOSSD sub-pillar,Amount committed (USD thousand),Deflated Amount committed (USD thousand),Amount disbursed (USD thousand),Deflated amount disbursed (USD thousand),Reflows to the provider (USD thousand),Deflated reflows to the provider (USD thousand),Amount mobilised  (USD thousand),Deflated amount mobilised  (USD thousand),Salary cost (PPPs),Concessionality,Maturity (in months),Leveraging mechanism,Origin of the funds mobilised,Source name,Weight,Weighted_Amount
2021,940,International Labour Organisation,Regular Budget,63210-CHL151-Output 8.2,2021002513,434,Chile,South America,Contribution of 63210-DWT/CO-Santiago,"Conocimiento sobre el mercado de trabajo en pro de la equidad mejorado a través de investigaciones, estadísticas, entre otros con miras al fortalecimiento de la interacción y la integración de políticas sociales",https://www.ilo.org/santiago/lang--en/index.htm,17.18;17.14,,,160,Other social infrastructure and services,16010.0,Social Protection,8430,Compulsory social security activities,O,Public administration and defence; compulsory social security,41300.0,,,41302.0,International Labour Organisation - Assessed Contributions,"ILO, International Labour Organisation",D02,Other technical co-operation,110.0,Standard grant,,,,,1,1,71.0,72.898011257034,71.0,72.898011257034,0.0,0.0,0.0,0.0,0.0,,,,,TOSSD,0.4,28.400000000000002
2021,959,UNDP,Voluntary non-core funding,106962,2021004448,434,Chile,South America,6th National Reports in LAC II,Provide technical support to GEFeligible Parties to the Convention on Biological Diversity (CBD) in their work to develop a high quality  genderresponsive and datadriven 6th National Report in Latin America and Caribbean Region II (LAC II),,15.9;15.5;15.2,,,410,General Environment Protection,41010.0,Environmental policy and administrative management,8412,"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security",O,Public administration and defence; compulsory social security,41100.0,,,41114.0,United Nations Development Programme,United Nations Development Programme,C01,Projects,110.0,Standard grant,,,,,1,1,0.09354,0.09604056299976,0.09354,0.09604056299976,0.0,0.0,0.0,0.0,0.0,,,,,TOSSD,0.4,0.037416
2021,959,UNDP,Voluntary non-core funding,106038,2021004406,434,Chile,South America,Humboldt Fase 2,El objetivo es facilitar el manejo pesquero basado en ecosistemas y restauracion de ecosistemas del Sistema de la Corriente de Humboldt para la provision sostenible y resiliente de bienes y servicios de los recursos marinos vivos compartidos.,,15.2,,,410,General Environment Protection,41010.0,Environmental policy and administrative management,8412,"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security",O,Public administration and defence; compulsory social security,10000.0,,,10000.0,Public Sector Institutions,SUBSECRETARIA DE PESCA,C01,Projects,110.0,Standard grant,,,,,1,1,15.25219,15.659919976259,15.25219,15.659919976259,0.0,0.0,0.0,0.0,0.0,,,,,TOSSD,0.4,6.100876
2021,959,UNDP,Voluntary non-core funding,88249,2021003937,434,Chile,South America,Ecorregion mediterranea,Desarrollar experiencias demostrativas comunitarias que generen beneficios ambientales globales en paisajes de conservacion amenazados en la Ecorregion Mediterranea chilena,,15.2;15.1,,,410,General Environment Protection,41010.0,Environmental policy and administrative management,8412,"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security",O,Public administration and defence; compulsory social security,10000.0,,,10000.0,Public Sector Institutions,SUBSECRETARIA DE  MEDIO AMBIEN,C01,Projects,110.0,Standard grant,,,,,1,1,158.0079,162.23185454789,158.0079,162.23185454789,0.0,0.0,0.0,0.0,0.0,,,,,TOSSD,0.4,63.203160000000004
2021,959,UNDP,Voluntary non-core funding,117918,2021003342,434,Chile,South America,Fono Mayor,Fortalecimiento de capacidades del Fono Mayor del Servicio Nacional del Adulto Mayor (SENAMA) con el objetivo de apoyar a las personas mayores afectadas por la pandemia de la COVID19.,,15.2;15.1,,#COVID-19,410,General Environment Protection,41010.0,Environmental policy and administrative management,8412,"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security",O,Public administration and defence; compulsory social security,41100.0,,,41114.0,United Nations Development Programme,United Nations Development Programme,C01,Projects,110.0,Standard grant,,,,,1,1,283.89695,291.48624023856,283.89695,291.48624023856,0.0,0.0,0.0,0.0,0.0,,,,,TOSSD,0.4,113.55878000000001
2021,932,Food and Agriculture Organisation,Voluntary earmarked contributions - global and TOSSD-only activities,PRJ_690563,2021002091,434,Chile,South America,Restauración de la biodiversidad y sus servicios ecosistémicos a escala de paisaje en espacios silvo (PPG),Restauración de la biodiversidad y sus servicios ecosistémicos a escala de paisaje en espacios silvo (PPG),,,"The SDGs are central in FAO’s overall theory of change under its Strategic Framework. Key SDGs and their indicators, including all indicators for which FAO is custodian or contributing agency, are used to promote focus, track progress and express aspirations at the level of medium/long-term outcome/impact.",#GENDER|desertification,410,General Environment Protection,41030.0,Biodiversity,8412,"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security",O,Public administration and defence; compulsory social security,41300.0,,,41301.0,Food and Agricultural Organisation,Food and Agricultural Organisation,D02,Other technical co-operation,110.0,Standard grant,,,,,1,1,0.0,0.0,137.1,140.76503300478,0.0,0.0,0.0,0.0,0.0,,,,,TOSSD,1.0,137.1
2021,959,UNDP,Voluntary non-core funding,106953,2021001566,434,Chile,South America,Comp3 Fortalecimiento,La Corporacion Nacional Forestal y otras entidades relevantes estan fortalecidas para dar cumplimiento a los requerimientos de la Convencion de Naciones Unidas para el Cambio Climatico,,15.2;15.1,,,410,General Environment Protection,41010.0,Environmental policy and administrative management,8412,"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security",O,Public administration and defence; compulsory social security,10000.0,,,10000.0,Public Sector Institutions,CORPORACION NACIONAL FORESTAL,C01,Projects,110.0,Standard grant,,,,,1,1,325.37211,334.07013714796,325.37211,334.07013714796,0.0,0.0,0.0,0.0,0.0,,,,,TOSSD,0.4,130.14884400000003
2021,909,Inter-American Development Bank Group,Inter-American Development Bank Group,CH-T1247&ATN/OC-18428-CH,2021000791,434,Chile,South America,Support to Chile's efforts to promote innovation in the biodiversity agenda,The objective of this operation is to develop relevant instruments and to provide institutional strengthening advisory to support the conservation goals established by Chile in its Nationally Determined Contribution (NDC) and other initiatives led by the Ministry of the Environment and the Under secretariat for Tourism.,https://www.iadb.org/en/project/CH-T1247,,,#ADAPTATION,410,General Environment Protection,41030.0,Biodiversity,8412,"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security",O,Public administration and defence; compulsory social security,46000.0,,,46012.0,"Inter-American Development Bank, Inter-American Investment Corporation and Multilateral Investment Fund",INTER-AMERICAN DEVELOPMENT BANK,C01,Projects,110.0,Standard grant,,,,,1,1,0.0,0.0,90.0,92.405929762438,0.0,0.0,0.0,0.0,0.0,,,,,TOSSD,1.0,90.0
2021,932,Food and Agriculture Organisation,Voluntary earmarked contributions - global and TOSSD-only activities,PRJ_639984,2021000789,434,Chile,South America,"Strengthening and development of instruments for the management, prevention and control of beaver (Castor canadensis), an invasive alien species in th","Strengthening and development of instruments for the management, prevention and control of beaver (Castor canadensis), an invasive alien species in the Chilean Patagonia",,,"The SDGs are central in FAO’s overall theory of change under its Strategic Framework. Key SDGs and their indicators, including all indicators for which FAO is custodian or contributing agency, are used to promote focus, track progress and express aspirations at the level of medium/long-term outcome/impact.",#GENDER,410,General Environment Protection,41030.0,Biodiversity,8412,"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security",O,Public administration and defence; compulsory social security,41300.0,,,41301.0,Food and Agricultural Organisation,Food and Agricultural Organisation,D02,Other technical co-operation,110.0,Standard grant,,,,,1,1,0.0,0.0,192.94,198.09777875961,0.0,0.0,0.0,0.0,0.0,,,,,TOSSD,1.0,192.94
2021,932,Food and Agriculture Organisation,Voluntary earmarked contributions - global and TOSSD-only activities,PRJ_623646,2021000689,434,Chile,South America,Mainstreaming conservation and valuation of critically endangered species and ecosystems in development-frontier production landscapes in the regions,Mainstreaming conservation and valuation of critically endangered species and ecosystems in development-frontier production landscapes in the regions of Arica y Parinacota and Biobío (FSP),,,"The SDGs are central in FAO’s overall theory of change under its Strategic Framework. Key SDGs and their indicators, including all indicators for which FAO is custodian or contributing agency, are used to promote focus, track progress and express aspirations at the level of medium/long-term outcome/impact.",#GENDER,410,General Environment Protection,41030.0,Biodiversity,8412,"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security",O,Public administration and defence; compulsory social security,41300.0,,,41301.0,Food and Agricultural Organisation,Food and Agricultural Organisation,D02,Other technical co-operation,110.0,Standard grant,,,,,1,1,0.0,0.0,436.62,448.29196725417,0.0,0.0,0.0,0.0,0.0,,,,,TOSSD,1.0,436.62
