"Reporting year","Provider country/institution - code","Provider country/institution - name","Provider agency","Provider project number","TOSSD ID Number","TOSSD recipient - code","TOSSD recipient - name",Region,"Project title",Description,"External link","SDG focus","SDG goal level explanation",Keywords,"Sector category - code","Sector category - name","Purpose code","Purpose name",ISICcode,"ISIC name","ISIC lvl","ISIC description letter lvl","Channel category - code","Channel category - name","Other Partners","Channel - code","Channel - name",Channel,"Modality - code","Modality - name","Financial instrument - code","Financial instrument - name","Financing arrangement - code","Financing arrangement - name","Framework of collaboration - code","Framework of collaboration - name","TOSSD pillar","TOSSD sub-pillar","Amount committed (USD thousand)","Deflated Amount committed (USD thousand)","Amount disbursed (USD thousand)","Deflated amount disbursed (USD thousand)","Reflows to the provider (USD thousand)","Deflated reflows to the provider (USD thousand)","Amount mobilised  (USD thousand)","Deflated amount mobilised  (USD thousand)","Salary cost (PPPs)",Concessionality,"Maturity (in months)","Leveraging mechanism","Origin of the funds mobilised","Source name"
2019,1057,"UN Development Coordination Office","Non-core resources - TOSSD only",,2019000024,434,Chile,"South America","UN Resident Coordinator system","UN Resident Coordinator system",,17,,,150,"Government & Civil Society",15123,"Administration of developing countries' foreign aid",8421,"Foreign affairs",O,"Public administration and defence; compulsory social security",41000,,,41149,"United Nations Development Coordination Office","UN Development Coordination Office",G01,"Administrative costs not included elsewhere",110,"Standard grant",,,,,2,2,1353.695,1496.490331948,1353.695,1496.490331948,0,0,0,0,0,,,,,TOSSD
2019,1015,"Development Bank of Latin America","Development Bank of Latin America",,2019900012,434,Chile,"South America","Aggregated disbursements",,,,"All CAF´s operations are developed under the compliance of environmental and social safeguards. The Environmental Sustainability and Climate Change Strategy, within the framework of CAF's comprehensive development agenda, promotes migration to low-carbon and climate-resilient economies, with green infrastructure and a sustainable productive transformation, by providing shareholder countries with technical, financial and knowledge resources to promote the implementation of the United Nations 2030 Agenda. See more at https://www.caf.com/es/lineamientos-y-salvaguardas-ambientales/.",,998,"Unallocated / Unspecified",99810,"Sectors not specified",0,,,,,,,,,,C01,Projects,421,"Standard loan",,,,,1,1,0,0,1088000,1202768.3349347,0,0,0,0,0,0,,,,TOSSD
2020,431,Brazil,"National Council for Scientific and Technological Development",190311/2017-7,2020000301,434,Chile,"South America","Scholarships in Brasil (Masters)",Arts,,4.B,,,110,Education,11420,"Higher education",8530,"Higher education",P,Education,11000,,,11004,"Other public entities in donor country",,E01,"Scholarships/training in donor country",110,"Standard grant",,,FC01,"SOUTH-SOUTH CO-OPERATION",1,1,0,0,0.58193668528864,0.77158813348214,0,0,0,0,0,,,,,TOSSD
2020,1057,"UN Development Coordination Office","Non-core resources - TOSSD only",,2020000024,434,Chile,"South America","UN Resident Coordinator system","UN Resident Coordinator system",,17,,,150,"Government & Civil Society",15123,"Administration of developing countries' foreign aid",8421,"Foreign affairs",O,"Public administration and defence; compulsory social security",41100,,,41149,"United Nations Development Coordination Office","UN Development Coordination Office",G01,"Administrative costs not included elsewhere",110,"Standard grant",,,,,2,2,1353.976,1468.9213265641,1353.976,1468.9213265641,0,0,0,0,0,,,,,TOSSD
2020,932,"Food and Agriculture Organisation","Voluntary earmarked contributions - global and TOSSD-only activities",PRJ_670861,2020002868,434,Chile,"South America","NODO platform: Improving social protection and inclusion of the elderly through ICT",,,,"The SDGs are central in FAO’s overall theory of change under its Strategic Framework. Key SDGs and their indicators, including all indicators for which FAO is custodian or contributing agency, are used to promote focus, track progress and express aspirations at the level of medium/long-term outcome/impact.",,160,"Other social infrastructure and services",16010,"Social Protection",8430,"Compulsory social security activities",O,"Public administration and defence; compulsory social security",41300,,,41301,"Food and Agricultural Organisation","Food and Agricultural Organisation",D02,"Other technical co-operation",110,"Standard grant",,,,,1,1,109.72496,119.04002271856,109.72496,119.04002271856,0,0,0,0,0,,,,,TOSSD
2020,932,"Food and Agriculture Organisation","Voluntary earmarked contributions - global and TOSSD-only activities",PRJ_654683,2020002197,434,Chile,"South America","Chile REDD-plus results-based payments for results period 2014-2016",,,,"The SDGs are central in FAO’s overall theory of change under its Strategic Framework. Key SDGs and their indicators, including all indicators for which FAO is custodian or contributing agency, are used to promote focus, track progress and express aspirations at the level of medium/long-term outcome/impact.",#ADAPTATION|#MITIGATION,310,"Agriculture, Forestry, Fishing",31220,"Forestry development",210,"Silviculture and other forestry activities",A,"Agriculture, forestry and fishing",41300,,,41301,"Food and Agricultural Organisation","Food and Agricultural Organisation",D02,"Other technical co-operation",110,"Standard grant",,,,,1,1,46.26077,50.188062149015,46.26077,50.188062149015,0,0,0,0,0,,,,,TOSSD
2020,932,"Food and Agriculture Organisation","Voluntary earmarked contributions - global and TOSSD-only activities",PRJ_640674,2020000992,434,Chile,"South America","Programa Nacional ONU-REDD Chile",,,,"The SDGs are central in FAO’s overall theory of change under its Strategic Framework. Key SDGs and their indicators, including all indicators for which FAO is custodian or contributing agency, are used to promote focus, track progress and express aspirations at the level of medium/long-term outcome/impact.",#MITIGATION,310,"Agriculture, Forestry, Fishing",31210,"Forestry policy and administrative management",2,"Forestry and logging",A,"Agriculture, forestry and fishing",41300,,,41301,"Food and Agricultural Organisation","Food and Agricultural Organisation",D02,"Other technical co-operation",110,"Standard grant",,,,,1,1,211.71933,229.69316965947,211.71933,229.69316965947,0,0,0,0,0,,,,,TOSSD
2020,932,"Food and Agriculture Organisation","Voluntary earmarked contributions - global and TOSSD-only activities",PRJ_631884,2020000768,434,Chile,"South America","Strengthening the Adaptive Capacity to Climate Change in the Fisheries and Aquaculture Sector (FSP)",,,,"The SDGs are central in FAO’s overall theory of change under its Strategic Framework. Key SDGs and their indicators, including all indicators for which FAO is custodian or contributing agency, are used to promote focus, track progress and express aspirations at the level of medium/long-term outcome/impact.",#ADAPTATION,310,"Agriculture, Forestry, Fishing",31381,"Fishery education/training",3,"Fishing and aquaculture",A,"Agriculture, forestry and fishing",41300,,,41301,"Food and Agricultural Organisation","Food and Agricultural Organisation",D02,"Other technical co-operation",110,"Standard grant",,,,,1,1,334.35841,362.74365215118,334.35841,362.74365215118,0,0,0,0,0,,,,,TOSSD
2020,932,"Food and Agriculture Organisation","Voluntary earmarked contributions - global and TOSSD-only activities",PRJ_652763,2020001963,434,Chile,"South America","Actualizacion del Plan de Adaptación al cambio Climático del sector Silvoagropecuario",,,,"The SDGs are central in FAO’s overall theory of change under its Strategic Framework. Key SDGs and their indicators, including all indicators for which FAO is custodian or contributing agency, are used to promote focus, track progress and express aspirations at the level of medium/long-term outcome/impact.",#ADAPTATION,430,"Other Multisector",43071,"Food security policy and administrative management",841,"Administration of the State and the economic and social policy of the community",O,"Public administration and defence; compulsory social security",41300,,,41301,"Food and Agricultural Organisation","Food and Agricultural Organisation",D02,"Other technical co-operation",110,"Standard grant",,,,,1,1,9.33938,10.132243451055,9.33938,10.132243451055,0,0,0,0,0,,,,,TOSSD
2020,1015,"Development Bank of Latin America","Development Bank of Latin America",,2020900012,434,Chile,"South America","Aggregated disbursements",,,,"All CAF´s operations are developed under the compliance of environmental and social safeguards. The Environmental Sustainability and Climate Change Strategy, within the framework of CAF's comprehensive development agenda, promotes migration to low-carbon and climate-resilient economies, with green infrastructure and a sustainable productive transformation, by providing shareholder countries with technical, financial and knowledge resources to promote the implementation of the United Nations 2030 Agenda. See more at https://www.caf.com/es/lineamientos-y-salvaguardas-ambientales/.",,998,"Unallocated / Unspecified",99810,"Sectors not specified",0,,,,,,,,,,C01,Projects,421,"Standard loan",,,,,1,1,0,0,827000,897207.88039705,0,0,0,0,0,0,,,,TOSSD
