ministerio,servicio,programa,glosa_raw,es_operativo,partida,capitulo
MINISTERIO DE DESARROLLO SOCIAL Y FAMILIA,CORPORACION NACIONAL DE DESARROLLO INDÍGENA,GASTO CORRIENTE,[21],True,21,6
MINISTERIO DE DESARROLLO SOCIAL Y FAMILIA,CORPORACION NACIONAL DE DESARROLLO INDÍGENA,GASTO CORRIENTE,[22],True,21,6
MINISTERIO DE DESARROLLO SOCIAL Y FAMILIA,CORPORACION NACIONAL DE DESARROLLO INDÍGENA,GASTO CORRIENTE,[29],True,21,6
MINISTERIO DE DESARROLLO SOCIAL Y FAMILIA,CORPORACION NACIONAL DE DESARROLLO INDÍGENA,Protección del Medio Ambiente y Recursos Naturales,"[24, 1, 589]",False,21,6
MINISTERIO DE DESARROLLO SOCIAL Y FAMILIA,CORPORACION NACIONAL DE DESARROLLO INDÍGENA,Programa de apoyo a la Protección Ambiental Indígena,"[24, 3, 888]",False,21,6
MINISTERIO DE AGRICULTURA,INVESTIGACIÓN E INNOVACIÓN TECNOLÓGICA SILVOAGROPECUARIA,GASTO CORRIENTE,[21],True,13,1
MINISTERIO DE AGRICULTURA,INVESTIGACIÓN E INNOVACIÓN TECNOLÓGICA SILVOAGROPECUARIA,GASTO CORRIENTE,[22],True,13,1
MINISTERIO DE AGRICULTURA,INVESTIGACIÓN E INNOVACIÓN TECNOLÓGICA SILVOAGROPECUARIA,GASTO CORRIENTE,[29],True,13,1
MINISTERIO DE AGRICULTURA,INVESTIGACIÓN E INNOVACIÓN TECNOLÓGICA SILVOAGROPECUARIA,INIA,"[24, 1, 371]",False,13,1
MINISTERIO DE AGRICULTURA,INVESTIGACIÓN E INNOVACIÓN TECNOLÓGICA SILVOAGROPECUARIA,FIA,"[24, 1, 372]",False,13,1
MINISTERIO DE AGRICULTURA,INVESTIGACIÓN E INNOVACIÓN TECNOLÓGICA SILVOAGROPECUARIA,INFOR,"[24, 1, 373]",False,13,1
MINISTERIO DE AGRICULTURA,INVESTIGACIÓN E INNOVACIÓN TECNOLÓGICA SILVOAGROPECUARIA,CIREN,"[24, 1, 374]",False,13,1
MINISTERIO DE AGRICULTURA,OFICINA DE ESTUDIOS Y POLÍTICAS AGRARIAS,GASTO CORRIENTE,[21],True,13,2
MINISTERIO DE AGRICULTURA,OFICINA DE ESTUDIOS Y POLÍTICAS AGRARIAS,GASTO CORRIENTE,[22],True,13,2
MINISTERIO DE AGRICULTURA,OFICINA DE ESTUDIOS Y POLÍTICAS AGRARIAS,GASTO CORRIENTE,[29],True,13,2
MINISTERIO DE AGRICULTURA,OFICINA DE ESTUDIOS Y POLÍTICAS AGRARIAS,CIREN,"[24, 1, 11]",False,13,2
MINISTERIO DE AGRICULTURA,INSTITUTO DE DESARROLLO AGROPECUARIO,GASTO CORRIENTE,[21],True,13,3
