"Nombre_Partida","Nombre_Programa","String_name","partida","capitulo","codigo_programa_presupuestario","area","subtitulo","item","asignacion"
"MINISTERIO DE AGRICULTURA","INVESTIGACIÓN E INNOVACIÓN TECNOLÓGICA SILVOAGROPECUARIA","GASTO CORRIENTE",13,1,2,"NA","NA","NA","NA"
"MINISTERIO DE AGRICULTURA","INVESTIGACIÓN E INNOVACIÓN TECNOLÓGICA SILVOAGROPECUARIA","FIA",13,1,2,"NA",24,1,372
"MINISTERIO DE AGRICULTURA","INVESTIGACIÓN E INNOVACIÓN TECNOLÓGICA SILVOAGROPECUARIA","CIREN",13,1,2,"NA",24,1,374
"MINISTERIO DE AGRICULTURA","INVESTIGACIÓN E INNOVACIÓN TECNOLÓGICA SILVOAGROPECUARIA","INFOR",13,1,2,"NA",24,1,373
"MINISTERIO DE AGRICULTURA","INVESTIGACIÓN E INNOVACIÓN TECNOLÓGICA SILVOAGROPECUARIA","INIA",13,1,2,"NA",24,1,371
"MINISTERIO DE AGRICULTURA","ODEPA","CIREN",13,2,1,"NA",24,1,11
"MINISTERIO DE AGRICULTURA","ODEPA","GASTO CORRIENTE",13,2,1,"NA","NA","NA","NA"
"MINISTERIO DE AGRICULTURA","INDAP","GASTO CORRIENTE",13,3,1,"NA","NA","NA","NA"
"MINISTERIO DE AGRICULTURA","INDAP","SIRSD",13,3,1,"NA",24,1,389
"MINISTERIO DE AGRICULTURA","SAG","UNIÓN INTERNACIONAL PARA LA PROTECCIÒN DE LAS OBTENCIONES VEGETALES",13,4,"NA","NA",24,7,12
"MINISTERIO DE AGRICULTURA","SAG","EMERGENCIAS SANITARIAS",13,4,"NA","NA",24,1,601
"MINISTERIO DE AGRICULTURA","SAG","GASTO CORRIENTE",13,4,"NA","NA","NA","NA","NA"
"MINISTERIO DE AGRICULTURA","VIGILANCIA Y CONTROL","COMITÉ DE SANIDAD VEGETAL DE CONO SUR",13,4,"NA","NA",24,7,603
"MINISTERIO DE AGRICULTURA","VIGILANCIA Y CONTROL","GASTO CORRIENTE",13,4,"NA","NA","NA","NA","NA"
"MINISTERIO DE AGRICULTURA","PROGRAMA CONTROLES FRONTERIZOS","GASTO CORRIENTE",13,4,"NA","NA","NA","NA","NA"
"MINISTERIO DE AGRICULTURA","PROGRAMA GESTIÓN Y CONSERVACIÓN DE LOS RRNN","Convención sobre el comercio Internacinal de Especies Amenazadas de Fauna y Flora Silvestre",13,4,"NA","NA",24,7,15
"MINISTERIO DE AGRICULTURA","PROGRAMA GESTIÓN Y CONSERVACIÓN DE LOS RRNN","Convención sobre la Conservación de especies migratorias de animales silvestres",13,4,"NA","NA",24,7,14
"MINISTERIO DE AGRICULTURA","PROGRAMA GESTIÓN Y CONSERVACIÓN DE LOS RRNN","GASTO CORRIENTE",13,4,"NA","NA","NA","NA","NA"
"MINISTERIO DE AGRICULTURA","PROGRAMA GESTIÓN Y CONSERVACIÓN DE LOS RRNN","SIRSD",13,4,"NA","NA",24,1,404
"MINISTERIO DE AGRICULTURA","PROGRAMA DEL MANEJO DEL FUEGO","GASTO CORRIENTE",13,5,3,"NA","NA","NA","NA"
